"ID","Player","Team","Position","RkOv","Status","Age","Salary","Contract","FPts","FP/G","%D","ADP","Ros","+/-"
"*02g03*","Ludwig Blomstrand","(N/A)","F","1411","FA","32","100","Rachat","0","0","0","-","0%","0%"
"*02j6x*","Ben Blood","(N/A)","D","1412","FA","36","100","Rachat","0","0","0","-","0%","0%"
"*02frh*","Evan Bloodoff","(N/A)","F","1413","FA","35","100","Rachat","0","0","0","-","0%","0%"
"*004ja*","Jonathon Blum","(N/A)","D","1416","FA","36","100","Rachat","0","0","0","-","0%","0%"
"*003jz*","Mike Blunden","(N/A)","F","1418","FA","39","100","Rachat","0","0","0","-","0%","0%"
"*03k86*","Alex Boak","(N/A)","D","1419","FA","36","100","Rachat","0","0","0","-","0%","0%"
"*03zag*","Ivan Bocharov","(N/A)","G","1422","FA","30","100","Rachat","0","0","0","-","0%","0%"
"*02ody*","Rasmus Bodin","DET","F","1424","FA","31","100","Rachat","0","0","0","-","0%","0%"
"*003fl*","Andrew Bodnarchuk","(N/A)","D","1425","FA","37","100","Rachat","0","0","0","-","0%","0%"
"*02yc6*","Chris Bodo","(N/A)","F","1426","FA","34","100","Rachat","0","0","0","-","0%","0%"
"*02450*","Denis Bodrov","PHI","D","1427","FA","39","100","Rachat","0","0","0","-","0%","0%"
"*04l2e*","Corbin Boes","(N/A)","G","1430","FA","32","100","Rachat","0","0","0","-","0%","0%"
"*02oz5*","Marcus Bohman","(N/A)","D","1432","FA","32","100","Rachat","0","0","0","-","0%","0%"
"*02yho*","Mike Boivin","(N/A)","D","1439","FA","35","100","Rachat","0","0","0","-","0%","0%"
"*03kqj*","Connor Boland","EDM","D","1442","FA","31","100","Rachat","0","0","0","-","0%","0%"
"*004o3*","Bobby Bolt","(N/A)","F","1446","FA","38","100","Rachat","0","0","0","-","0%","0%"
"*043co*","Artur Boltanov","(N/A)","F","1447","FA","29","100","Rachat","0","0","0","-","0%","0%"
"*004kh*","Jimmy Bonneau","SJS","F","1454","FA","40","100","Rachat","0","0","0","-","0%","0%"
"*004oz*","Aaron Boogaard","(N/A)","F","1455","FA","39","100","Rachat","0","0","0","-","0%","0%"
"*04l82*","Shaw Boomhower","(N/A)","F","1457","FA","27","100","Rachat","0","0","0","-","0%","0%"
"*003d0*","Darryl Bootland","(N/A)","F","1461","FA","44","100","Rachat","0","0","0","-","0%","0%"
"*01szf*","Rob Bordson","(N/A)","F","1464","FA","37","100","Rachat","0","0","0","-","0%","0%"
"*003iv*","Casey Borer","(N/A)","D","1465","FA","40","100","Rachat","0","0","0","-","0%","0%"
"*066c9*","Zachary Borgiel","(N/A)","G","1467","FA","25","100","Rachat","0","0","0","-","0%","0%"
"*06lv9*","Tyler Borgula","(N/A)","F","1470","FA","20","100","Rachat","0","0","0","-","0%","0%"
"*0058m*","Francois Bouchard","(N/A)","F","1475","FA","37","100","Rachat","0","0","0","-","0%","0%"
"*03ee6*","Keven Bouchard","(N/A)","G","1476","FA","29","100","Rachat","0","0","0","-","0%","0%"
